#EXPORTTYPE:DATA SINGLE
#FILE:DPG_HEPES.ngb-ddg
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:DPG_HEPES
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:22.05.2026 14:30
#CORR. FILE:correction_2.ngb-bdg
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:Proc. de Nanocerâmicas
#OPERATOR:Danilo Janes
#REMARK:
#SAMPLE:VEG_HEPES
#SAMPLE MASS /mg:16.8
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/10,0(K/min)/-170°C/10,0(K/min)/40°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/10,0(K/min)/-170°C
#SEG. 2:-170°C/10,0(K/min)/40°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
  25.00000; 0.00000; 8.945455e-002;3.42573;1
  24.99933; 0.00333; 8.936149e-002;3.42573;1
  24.99960; 0.00667; 8.925558e-002;3.42573;1
  24.99971; 0.01000; 8.920268e-002;3.42573;1
  25.00022; 0.01333; 8.918929e-002;3.42573;1
  25.00009; 0.01667; 8.921593e-002;3.42573;1
  24.99962; 0.02000; 8.922932e-002;3.42573;1
  24.99907; 0.02333; 8.921633e-002;3.42573;1
  24.99824; 0.02666; 8.913660e-002;3.42573;1
  24.99726; 0.03000; 8.896441e-002;3.42573;1
  24.99610; 0.03333; 8.884491e-002;3.42573;1
  24.99470; 0.03666; 8.875226e-002;3.42574;1
  24.99284; 0.04000; 8.861933e-002;3.42574;1
  24.99082; 0.04333; 8.846024e-002;3.42574;1
  24.98855; 0.04666; 8.831453e-002;3.42574;1
  24.98610; 0.05000; 8.812864e-002;3.42574;1
  24.98337; 0.05333; 8.786342e-002;3.42574;1
  24.98038; 0.05666; 8.758520e-002;3.42574;1
  24.97709; 0.06000; 8.718754e-002;3.42574;1
  24.97357; 0.06333; 8.657780e-002;3.42575;1
  24.96979; 0.06666; 8.598115e-002;3.42575;1
  24.96564; 0.06999; 8.542452e-002;3.42575;1
  24.96114; 0.07333; 8.485395e-002;3.42575;1
  24.95637; 0.07666; 8.429685e-002;3.42575;1
  24.95128; 0.07999; 8.364721e-002;3.42576;1
  24.94584; 0.08333; 8.293160e-002;3.42576;1
  24.93999; 0.08666; 8.217575e-002;3.42576;1
  24.93385; 0.08999; 8.140675e-002;3.42576;1
  24.92738; 0.09333; 8.055800e-002;3.42577;1
