#EXPORTTYPE:DATA SINGLE
#FILE:GLICEROL_GM_HEPES.ngb-ddg
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:GLICEROL_GM_HEPES
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:25.05.2026 17:33
#CORR. FILE:correction_2.ngb-bdg
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:Proc. de Nanocerâmicas
#OPERATOR:Danilo Janes
#REMARK:
#SAMPLE:GLICEROL_GM_HEPES
#SAMPLE MASS /mg:17.9
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/10,0(K/min)/-170°C/10,0(K/min)/40°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/10,0(K/min)/-170°C
#SEG. 2:-170°C/10,0(K/min)/40°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
  24.99700; 0.00000; 3.493623e-002;3.42573;1
  24.99581; 0.00268; 3.488417e-002;3.42574;1
  24.99571; 0.00535; 3.484910e-002;3.42574;1
  24.99571; 0.00803; 3.482319e-002;3.42574;1
  24.99563; 0.01070; 3.478867e-002;3.42574;1
  24.99612; 0.01338; 3.476180e-002;3.42573;1
  24.99614; 0.01605; 3.478985e-002;3.42573;1
  24.99586; 0.01873; 3.482405e-002;3.42574;1
  24.99523; 0.02140; 3.484842e-002;3.42574;1
  24.99410; 0.02408; 3.484115e-002;3.42574;1
  24.99241; 0.02675; 3.478497e-002;3.42574;1
  24.99010; 0.02943; 3.472349e-002;3.42574;1
  24.98718; 0.03210; 3.466763e-002;3.42574;1
  24.98342; 0.03478; 3.450213e-002;3.42574;1
  24.97868; 0.03745; 3.425952e-002;3.42574;1
  24.97299; 0.04013; 3.405538e-002;3.42575;1
  24.96631; 0.04280; 3.380917e-002;3.42575;1
  24.95855; 0.04548; 3.339635e-002;3.42575;1
  24.94974; 0.04815; 3.296167e-002;3.42576;1
  24.93992; 0.05083; 3.252161e-002;3.42576;1
  24.92904; 0.05350; 3.194429e-002;3.42577;1
  24.91709; 0.05618; 3.124585e-002;3.42577;1
  24.90414; 0.05885; 3.050873e-002;3.42578;1
  24.89015; 0.06153; 2.961913e-002;3.42578;1
  24.87514; 0.06420; 2.860167e-002;3.42579;1
  24.85914; 0.06688; 2.750842e-002;3.42580;1
  24.84211; 0.06955; 2.623699e-002;3.42581;1
  24.82407; 0.07223; 2.494693e-002;3.42582;1
  24.80508; 0.07490; 2.348567e-002;3.42582;1
  24.78514; 0.07758; 2.189592e-002;3.42583;1
  24.76422; 0.08025; 2.023488e-002;3.42584;1
  24.74238; 0.08293; 1.827912e-002;3.42585;1
  24.71964; 0.08560; 1.614378e-002;3.42586;1
  24.69601; 0.08828; 1.389016e-002;3.42588;1
  24.67143; 0.09095; 1.150706e-002;3.42589;1
  24.64612; 0.09363; 8.956000e-003;3.42590;1
  24.61998; 0.09630; 6.209304e-003;3.42591;1
  24.59192; 0.09898; 3.298283e-003;3.42592;1
  24.56933; 0.10165; 1.976803e-004;3.42593;1
  24.55039; 0.10433;-3.056474e-003;3.42594;1
  24.52957; 0.10700;-6.440369e-003;3.42595;1
  24.50844; 0.10968;-1.001781e-002;3.42596;1
  24.48674; 0.11235;-1.379820e-002;3.42597;1
  24.46441; 0.11503;-1.776528e-002;3.42598;1
  24.44151; 0.11771;-2.194498e-002;3.42599;1
  24.41802; 0.12038;-2.627653e-002;3.42600;1
  24.39392; 0.12306;-3.066840e-002;3.42602;1
  24.36917; 0.12573;-3.531143e-002;3.42603;1
  24.34380; 0.12841;-4.014538e-002;3.42604;1
  24.31783; 0.13108;-4.514104e-002;3.42605;1
  24.29126; 0.13376;-5.031207e-002;3.42606;1
  24.26409; 0.13643;-5.561120e-002;3.42608;1
  24.23633; 0.13911;-6.101507e-002;3.42609;1
  24.20796; 0.14178;-6.658425e-002;3.42610;1
  24.17897; 0.14446;-7.233276e-002;3.42612;1
  24.14940; 0.14713;-7.826440e-002;3.42613;1
  24.11931; 0.14981;-8.437763e-002;3.42614;1
  24.08863; 0.15248;-9.057914e-002;3.42616;1
  24.05737; 0.15516;-9.691334e-002;3.42617;1
  24.02555; 0.15783;      -0.10340;3.42619;1
  23.99319; 0.16051;      -0.10995;3.42620;1
  23.96029; 0.16318;      -0.11656;3.42622;1
  23.92684; 0.16586;      -0.12337;3.42623;1
  23.89288; 0.16853;      -0.13036;3.42625;1
  23.85841; 0.17121;      -0.13748;3.42626;1
  23.82344; 0.17388;      -0.14472;3.42628;1
  23.78803; 0.17656;      -0.15206;3.42630;1
  23.75214; 0.17923;      -0.15948;3.42631;1
  23.71581; 0.18191;      -0.16701;3.42633;1
  23.67902; 0.18458;      -0.17463;3.42635;1
  23.64180; 0.18726;      -0.18233;3.42636;1
  23.60419; 0.18993;      -0.19014;3.42638;1
  23.56617; 0.19261;      -0.19802;3.42640;1
  23.52779; 0.19528;      -0.20601;3.42642;1
  23.48909; 0.19796;      -0.21404;3.42643;1
  23.45002; 0.20063;      -0.22212;3.42645;1
  23.41056; 0.20331;      -0.23030;3.42647;1
  23.37079; 0.20598;      -0.23856;3.42649;1
  23.33071; 0.20866;      -0.24682;3.42651;1
  23.29032; 0.21133;      -0.25517;3.42653;1
  23.24962; 0.21401;      -0.26358;3.42654;1
  23.20866; 0.21668;      -0.27198;3.42656;1
  23.16744; 0.21936;      -0.28047;3.42658;1
  23.12593; 0.22203;      -0.28899;3.42660;1
  23.08418; 0.22471;      -0.29751;3.42662;1
  23.04222; 0.22738;      -0.30607;3.42664;1
  23.00003; 0.23006;      -0.31467;3.42666;1
  22.95767; 0.23274;      -0.32322;3.42668;1
  22.91508; 0.23541;      -0.33179;3.42670;1
  22.87232; 0.23809;      -0.34037;3.42672;1
  22.82943; 0.24076;      -0.34897;3.42674;1
  22.78638; 0.24344;      -0.35760;3.42676;1
  22.74319; 0.24611;      -0.36621;3.42678;1
  22.69988; 0.24879;      -0.37481;3.42680;1
  22.65643; 0.25146;      -0.38343;3.42682;1
  22.61284; 0.25414;      -0.39200;3.42684;1
  22.56918; 0.25681;      -0.40046;3.42686;1
  22.52545; 0.25949;      -0.40889;3.42688;1
  22.48164; 0.26216;      -0.41721;3.42689;1
  22.43776; 0.26484;      -0.42550;3.42691;1
  22.39384; 0.26751;      -0.43378;3.42693;1
  22.34986; 0.27019;      -0.44199;3.42695;1
  22.30586; 0.27286;      -0.45012;3.42697;1
  22.26182; 0.27554;      -0.45824;3.42699;1
  22.21780; 0.27821;      -0.46632;3.42701;1
  22.17377; 0.28089;      -0.47428;3.42703;1
  22.12972; 0.28356;      -0.48212;3.42705;1
  22.08567; 0.28624;      -0.48989;3.42707;1
  22.04170; 0.28891;      -0.49754;3.42709;1
  21.99775; 0.29159;      -0.50510;3.42711;1
  21.95380; 0.29426;      -0.51264;3.42713;1
  21.90991; 0.29694;      -0.52010;3.42715;1
  21.86613; 0.29961;      -0.52734;3.42717;1
  21.82237; 0.30229;      -0.53449;3.42719;1
  21.77870; 0.30496;      -0.54156;3.42721;1
  21.73516; 0.30764;      -0.54852;3.42723;1
  21.69170; 0.31031;      -0.55540;3.42725;1
  21.64833; 0.31299;      -0.56216;3.42727;1
  21.60506; 0.31566;      -0.56877;3.42729;1
  21.56191; 0.31834;      -0.57528;3.42731;1
  21.51891; 0.32101;      -0.58171;3.42733;1
  21.47604; 0.32369;      -0.58807;3.42735;1
  21.43328; 0.32636;      -0.59433;3.42737;1
  21.39067; 0.32904;      -0.60034;3.42739;1
  21.34822; 0.33171;      -0.60620;3.42741;1
  21.30592; 0.33439;      -0.61198;3.42742;1
  21.26379; 0.33706;      -0.61765;3.42744;1
  21.22183; 0.33974;      -0.62316;3.42746;1
  21.18000; 0.34242;      -0.62854;3.42748;1
  21.13838; 0.34509;      -0.63381;3.42750;1
  21.09696; 0.34777;      -0.63900;3.42752;1
  21.05569; 0.35044;      -0.64409;3.42754;1
  21.01457; 0.35312;      -0.64904;3.42755;1
  20.97365; 0.35579;      -0.65385;3.42757;1
  20.93292; 0.35847;      -0.65849;3.42759;1
  20.89237; 0.36114;      -0.66299;3.42761;1
  20.85201; 0.36382;      -0.66740;3.42763;1
  20.81184; 0.36649;      -0.67168;3.42764;1
  20.77186; 0.36917;      -0.67579;3.42766;1
  20.73210; 0.37184;      -0.67975;3.42768;1
  20.69255; 0.37452;      -0.68364;3.42770;1
  20.65322; 0.37719;      -0.68745;3.42772;1
  20.61408; 0.37987;      -0.69113;3.42773;1
  20.57514; 0.38254;      -0.69475;3.42775;1
