#EXPORTTYPE:DATA SINGLE
#FILE:H20_miliQ_2.ngb-ddg
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:H20_miliQ_2
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:25.05.2026 16:46
#CORR. FILE:correction_2.ngb-bdg
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:Proc. de Nanocerâmicas
#OPERATOR:Danilo Janes
#REMARK:
#SAMPLE:H20_miliQ_2
#SAMPLE MASS /mg:15.5
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/10,0(K/min)/-170°C/10,0(K/min)/40°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/10,0(K/min)/-170°C
#SEG. 2:-170°C/10,0(K/min)/40°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
  24.99600; 0.00000;       0.10759;3.42574;1
  24.99600; 0.00333;       0.10756;3.42574;1
  24.99640; 0.00667;       0.10755;3.42573;1
  24.99629; 0.01000;       0.10752;3.42573;1
  24.99633; 0.01333;       0.10750;3.42573;1
  24.99627; 0.01667;       0.10749;3.42573;1
  24.99615; 0.02000;       0.10745;3.42573;1
  24.99573; 0.02333;       0.10740;3.42574;1
  24.99529; 0.02667;       0.10737;3.42574;1
  24.99479; 0.03000;       0.10739;3.42574;1
  24.99419; 0.03333;       0.10739;3.42574;1
  24.99335; 0.03666;       0.10736;3.42574;1
  24.99240; 0.04000;       0.10724;3.42574;1
  24.99133; 0.04333;       0.10713;3.42574;1
  24.99014; 0.04666;       0.10700;3.42574;1
  24.98878; 0.05000;       0.10686;3.42574;1
  24.98733; 0.05333;       0.10664;3.42574;1
  24.98572; 0.05666;       0.10643;3.42574;1
  24.98400; 0.06000;       0.10620;3.42574;1
  24.98218; 0.06333;       0.10588;3.42574;1
  24.98025; 0.06666;       0.10556;3.42574;1
  24.97817; 0.07000;       0.10525;3.42574;1
  24.97596; 0.07333;       0.10490;3.42574;1
  24.97356; 0.07666;       0.10459;3.42575;1
  24.97100; 0.08000;       0.10421;3.42575;1
  24.96824; 0.08333;       0.10374;3.42575;1
  24.96534; 0.08666;       0.10324;3.42575;1
  24.96224; 0.08999;       0.10276;3.42575;1
  24.95890; 0.09333;       0.10227;3.42575;1
  24.95535; 0.09666;       0.10164;3.42575;1
  24.95160; 0.09999;       0.10107;3.42576;1
  24.94886; 0.10333;       0.10049;3.42576;1
  24.94602; 0.10666; 9.983133e-002;3.42576;1
  24.94304; 0.10999; 9.914151e-002;3.42576;1
  24.93992; 0.11333; 9.846605e-002;3.42576;1
  24.93668; 0.11666; 9.779087e-002;3.42576;1
  24.93334; 0.11999; 9.713020e-002;3.42576;1
  24.92984; 0.12333; 9.645481e-002;3.42577;1
  24.92617; 0.12666; 9.575085e-002;3.42577;1
  24.92237; 0.12999; 9.500393e-002;3.42577;1
  24.91844; 0.13333; 9.422798e-002;3.42577;1
  24.91431; 0.13666; 9.342354e-002;3.42577;1
  24.91008; 0.13999; 9.260480e-002;3.42578;1
  24.90568; 0.14332; 9.174286e-002;3.42578;1
  24.90114; 0.14666; 9.090937e-002;3.42578;1
  24.89642; 0.14999; 9.001873e-002;3.42578;1
  24.89156; 0.15332; 8.909897e-002;3.42578;1
  24.88654; 0.15666; 8.822247e-002;3.42579;1
  24.88136; 0.15999; 8.730314e-002;3.42579;1
  24.87598; 0.16332; 8.634004e-002;3.42579;1
  24.87043; 0.16666; 8.522184e-002;3.42579;1
  24.86474; 0.16999; 8.329655e-002;3.42580;1
  24.85889; 0.17332; 8.208786e-002;3.42580;1
  24.85287; 0.17666; 8.089595e-002;3.42580;1
  24.84668; 0.17999; 7.963173e-002;3.42581;1
  24.84028; 0.18332; 7.838118e-002;3.42581;1
  24.83373; 0.18666; 7.711728e-002;3.42581;1
  24.82699; 0.18999; 7.563801e-002;3.42581;1
  24.82007; 0.19332; 7.411465e-002;3.42582;1
  24.81298; 0.19665; 7.269198e-002;3.42582;1
  24.80567; 0.19999; 7.129819e-002;3.42582;1
  24.79818; 0.20332; 6.986191e-002;3.42583;1
  24.79051; 0.20665; 6.810997e-002;3.42583;1
  24.78262; 0.20999; 6.642842e-002;3.42583;1
  24.77454; 0.21332; 6.464760e-002;3.42584;1
  24.76630; 0.21665; 6.287994e-002;3.42584;1
  24.75785; 0.21999; 6.111305e-002;3.42585;1
  24.74920; 0.22332; 5.928829e-002;3.42585;1
  24.74035; 0.22665; 5.739216e-002;3.42585;1
  24.73128; 0.22999; 5.530935e-002;3.42586;1
  24.72201; 0.23332; 5.322608e-002;3.42586;1
  24.71253; 0.23665; 5.115685e-002;3.42587;1
  24.70283; 0.23999; 4.910287e-002;3.42587;1
  24.69291; 0.24332; 4.703400e-002;3.42588;1
  24.68278; 0.24665; 4.490774e-002;3.42588;1
  24.67247; 0.24998; 4.268123e-002;3.42589;1
