#EXPORTTYPE:DATA SINGLE
#FILE:VEG_HEPES.ngb-ddg
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:VEG_HEPES
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:22.05.2026 13:14
#CORR. FILE:correction_2.ngb-bdg
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:Proc. de Nanocerâmicas
#OPERATOR:Danilo Janes
#REMARK:
#SAMPLE:VEG_HEPES
#SAMPLE MASS /mg:17.3
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/10,0(K/min)/-170°C/10,0(K/min)/40°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/10,0(K/min)/-170°C
#SEG. 2:-170°C/10,0(K/min)/40°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
  24.99500; 0.00000; 6.401834e-002;3.42574;1
  24.99633; 0.00333; 6.396699e-002;3.42573;1
  24.99700; 0.00667; 6.392850e-002;3.42573;1
  24.99714; 0.01000; 6.390289e-002;3.42573;1
  24.99722; 0.01333; 6.388988e-002;3.42573;1
  24.99718; 0.01667; 6.387714e-002;3.42573;1
  24.99723; 0.02000; 6.383853e-002;3.42573;1
  24.99713; 0.02333; 6.381278e-002;3.42573;1
  24.99700; 0.02667; 6.378690e-002;3.42573;1
  24.99684; 0.03000; 6.377429e-002;3.42573;1
  24.99667; 0.03333; 6.372279e-002;3.42573;1
  24.99635; 0.03666; 6.372290e-002;3.42573;1
  24.99612; 0.04000; 6.371030e-002;3.42573;1
  24.99585; 0.04333; 6.368431e-002;3.42574;1
  24.99541; 0.04666; 6.363293e-002;3.42574;1
  24.99500; 0.05000; 6.360720e-002;3.42574;1
  24.99455; 0.05333; 6.351702e-002;3.42574;1
  24.99403; 0.05666; 6.342724e-002;3.42574;1
  24.99349; 0.06000; 6.334994e-002;3.42574;1
  24.99282; 0.06333; 6.318278e-002;3.42574;1
  24.99210; 0.06666; 6.302852e-002;3.42574;1
  24.99130; 0.07000; 6.288702e-002;3.42574;1
  24.99038; 0.07333; 6.274547e-002;3.42574;1
  24.98934; 0.07666; 6.255263e-002;3.42574;1
  24.98817; 0.08000; 6.241120e-002;3.42574;1
  24.98681; 0.08333; 6.227005e-002;3.42574;1
  24.98529; 0.08666; 6.207694e-002;3.42574;1
  24.98366; 0.08999; 6.192248e-002;3.42574;1
  24.98188; 0.09333; 6.169086e-002;3.42574;1
  24.97987; 0.09666; 6.147206e-002;3.42574;1
  24.97769; 0.09999; 6.130521e-002;3.42574;1
  24.97620; 0.10333; 6.118920e-002;3.42574;1
  24.97458; 0.10666; 6.103550e-002;3.42575;1
  24.97287; 0.10999; 6.080374e-002;3.42575;1
  24.97105; 0.11333; 6.057250e-002;3.42575;1
  24.96915; 0.11666; 6.034104e-002;3.42575;1
  24.96710; 0.11999; 6.010954e-002;3.42575;1
  24.96497; 0.12333; 5.989073e-002;3.42575;1
  24.96271; 0.12666; 5.963356e-002;3.42575;1
  24.96035; 0.12999; 5.938932e-002;3.42575;1
  24.95788; 0.13333; 5.914470e-002;3.42575;1
  24.95525; 0.13666; 5.892628e-002;3.42575;1
  24.95248; 0.13999; 5.872056e-002;3.42576;1
  24.94955; 0.14332; 5.847646e-002;3.42576;1
  24.94650; 0.14666; 5.812914e-002;3.42576;1
  24.94330; 0.14999; 5.779474e-002;3.42576;1
  24.93991; 0.15332; 5.746007e-002;3.42576;1
  24.93642; 0.15666; 5.709988e-002;3.42576;1
  24.93277; 0.15999; 5.670115e-002;3.42576;1
  24.92898; 0.16332; 5.635333e-002;3.42577;1
  24.92500; 0.16666; 5.599350e-002;3.42577;1
  24.92083; 0.16999; 5.559441e-002;3.42577;1
  24.91652; 0.17332; 5.515726e-002;3.42577;1
  24.91205; 0.17666; 5.465579e-002;3.42577;1
  24.90738; 0.17999; 5.410288e-002;3.42578;1
  24.90254; 0.18332; 5.353650e-002;3.42578;1
  24.89753; 0.18666; 5.299589e-002;3.42578;1
  24.89231; 0.18999; 5.239121e-002;3.42578;1
  24.88694; 0.19332; 5.176064e-002;3.42579;1
  24.88133; 0.19665; 5.115567e-002;3.42579;1
  24.87553; 0.19999; 5.052553e-002;3.42579;1
  24.86947; 0.20332; 4.981741e-002;3.42579;1
  24.86322; 0.20665; 4.910975e-002;3.42580;1
  24.85676; 0.20999; 4.836364e-002;3.42580;1
  24.85011; 0.21332; 4.750188e-002;3.42580;1
  24.84321; 0.21665; 4.665232e-002;3.42581;1
  24.83610; 0.21999; 4.576435e-002;3.42581;1
  24.82875; 0.22332; 4.478623e-002;3.42581;1
  24.82120; 0.22665; 4.384653e-002;3.42582;1
  24.81341; 0.22999; 4.288153e-002;3.42582;1
  24.80540; 0.23332; 4.186510e-002;3.42582;1
  24.79715; 0.23665; 4.078413e-002;3.42583;1
  24.78863; 0.23999; 3.967713e-002;3.42583;1
  24.77988; 0.24332; 3.855767e-002;3.42584;1
  24.77086; 0.24665; 3.739932e-002;3.42584;1
  24.76163; 0.24998; 3.613862e-002;3.42584;1
  24.75213; 0.25332; 3.476148e-002;3.42585;1
  24.74239; 0.25665; 3.333279e-002;3.42585;1
  24.73243; 0.25998; 3.198095e-002;3.42586;1
  24.72215; 0.26332; 3.066845e-002;3.42586;1
  24.71164; 0.26665; 2.918903e-002;3.42587;1
  24.70087; 0.26998; 2.759330e-002;3.42587;1
  24.68986; 0.27332; 2.599715e-002;3.42588;1
  24.67855; 0.27665; 2.436284e-002;3.42588;1
  24.66696; 0.27998; 2.266390e-002;3.42589;1
  24.65510; 0.28332; 2.096514e-002;3.42589;1
  24.64292; 0.28665; 1.927903e-002;3.42590;1
  24.63051; 0.28998; 1.752881e-002;3.42591;1
  24.61784; 0.29332; 1.573954e-002;3.42591;1
  24.60489; 0.29665; 1.393800e-002;3.42592;1
  24.59162; 0.29998; 1.195625e-002;3.42592;1
  24.57806; 0.30331; 9.974145e-003;3.42593;1
  24.56423; 0.30665; 7.902065e-003;3.42594;1
  24.55013; 0.30998; 5.842797e-003;3.42594;1
  24.53572; 0.31331; 3.745070e-003;3.42595;1
  24.52104; 0.31665; 1.621529e-003;3.42596;1
  24.50601; 0.31998;-5.659948e-004;3.42596;1
  24.49072; 0.32331;-2.856995e-003;3.42597;1
  24.47511; 0.32665;-5.109620e-003;3.42598;1
  24.45918; 0.32998;-7.400377e-003;3.42599;1
  24.44294; 0.33331;-9.704184e-003;3.42599;1
  24.42635; 0.33665;-1.205880e-002;3.42600;1
  24.40948; 0.33998;-1.455544e-002;3.42601;1
  24.39232; 0.34331;-1.707841e-002;3.42602;1
  24.37482; 0.34665;-1.956266e-002;3.42603;1
  24.35702; 0.34998;-2.205930e-002;3.42603;1
  24.33889; 0.35331;-2.458165e-002;3.42604;1
  24.32048; 0.35664;-2.718120e-002;3.42605;1
  24.30170; 0.35998;-2.981933e-002;3.42606;1
  24.28257; 0.36331;-3.250938e-002;3.42607;1
  24.26310; 0.36664;-3.521198e-002;3.42608;1
  24.24328; 0.36998;-3.795322e-002;3.42609;1
  24.22312; 0.37331;-4.070743e-002;3.42610;1
  24.20260; 0.37664;-4.349949e-002;3.42610;1
  24.18167; 0.37998;-4.644627e-002;3.42611;1
  24.16043; 0.38331;-4.938080e-002;3.42612;1
  24.13880; 0.38664;-5.232820e-002;3.42613;1
  24.11682; 0.38998;-5.531324e-002;3.42614;1
  24.09446; 0.39331;-5.838909e-002;3.42615;1
  24.07171; 0.39664;-6.146438e-002;3.42617;1
  24.04858; 0.39998;-6.469475e-002;3.42618;1
  24.02510; 0.40331;-6.778398e-002;3.42619;1
  24.00125; 0.40664;-7.094933e-002;3.42620;1
  23.97704; 0.40997;-7.415368e-002;3.42621;1
  23.95240; 0.41331;-7.739644e-002;3.42622;1
  23.92736; 0.41664;-8.070356e-002;3.42623;1
  23.90190; 0.41997;-8.401067e-002;3.42624;1
  23.87602; 0.42331;-8.743344e-002;3.42626;1
  23.84972; 0.42664;-9.085698e-002;3.42627;1
  23.82300; 0.42997;-9.426724e-002;3.42628;1
  23.79586; 0.43331;-9.774099e-002;3.42629;1
  23.76824; 0.43664;      -0.10129;3.42631;1
  23.74015; 0.43997;      -0.10490;3.42632;1
  23.71161; 0.44331;      -0.10855;3.42633;1
  23.68260; 0.44664;      -0.11229;3.42635;1
  23.65312; 0.44997;      -0.11606;3.42636;1
  23.62314; 0.45331;      -0.11994;3.42637;1
  23.59267; 0.45664;      -0.12382;3.42639;1
  23.56169; 0.45997;      -0.12770;3.42640;1
  23.53019; 0.46330;      -0.13162;3.42642;1
  23.49820; 0.46664;      -0.13558;3.42643;1
  23.46568; 0.46997;      -0.13968;3.42645;1
  23.43260; 0.47330;      -0.14374;3.42646;1
  23.39899; 0.47664;      -0.14785;3.42648;1
  23.36481; 0.47997;      -0.15207;3.42649;1
  23.33005; 0.48330;      -0.15638;3.42651;1
  23.29471; 0.48664;      -0.16072;3.42652;1
  23.25880; 0.48997;      -0.16514;3.42654;1
  23.22227; 0.49330;      -0.16960;3.42656;1
  23.18513; 0.49664;      -0.17402;3.42657;1
  23.14735; 0.49997;      -0.17856;3.42659;1
  23.10897; 0.50330;      -0.18323;3.42661;1
  23.06993; 0.50664;      -0.18787;3.42663;1
  23.03026; 0.50997;      -0.19260;3.42664;1
  22.98994; 0.51330;      -0.19737;3.42666;1
  22.94895; 0.51663;      -0.20215;3.42668;1
  22.90724; 0.51997;      -0.20710;3.42670;1
  22.86489; 0.52330;      -0.21207;3.42672;1
  22.82183; 0.52663;      -0.21705;3.42674;1
  22.77804; 0.52997;      -0.22215;3.42676;1
  22.73356; 0.53330;      -0.22727;3.42678;1
  22.68835; 0.53663;      -0.23255;3.42680;1
  22.64243; 0.53997;      -0.23795;3.42682;1
  22.59574; 0.54330;      -0.24345;3.42684;1
  22.54830; 0.54663;      -0.24904;3.42686;1
  22.50012; 0.54997;      -0.25462;3.42689;1
  22.45113; 0.55330;      -0.26037;3.42691;1
  22.40137; 0.55663;      -0.26617;3.42693;1
  22.35081; 0.55997;      -0.27199;3.42695;1
  22.29947; 0.56330;      -0.27788;3.42698;1
  22.24734; 0.56663;      -0.28393;3.42700;1
  22.19435; 0.56996;      -0.29004;3.42702;1
  22.14058; 0.57330;      -0.29632;3.42705;1
  22.08596; 0.57663;      -0.30266;3.42707;1
  22.03057; 0.57996;      -0.30910;3.42710;1
  21.97435; 0.58330;      -0.31566;3.42712;1
  21.91726; 0.58663;      -0.32230;3.42715;1
  21.85923; 0.58996;      -0.32909;3.42718;1
  21.80032; 0.59330;      -0.33594;3.42720;1
  21.74053; 0.59663;      -0.34290;3.42723;1
  21.67992; 0.59996;      -0.35009;3.42726;1
  21.61843; 0.60330;      -0.35737;3.42728;1
  21.55605; 0.60663;      -0.36476;3.42731;1
  21.49274; 0.60996;      -0.37224;3.42734;1
  21.42849; 0.61330;      -0.37984;3.42737;1
  21.36334; 0.61663;      -0.38764;3.42740;1
  21.29730; 0.61996;      -0.39552;3.42743;1
  21.23040; 0.62329;      -0.40349;3.42746;1
  21.16256; 0.62663;      -0.41151;3.42749;1
  21.09379; 0.62996;      -0.41968;3.42752;1
  21.02407; 0.63329;      -0.42800;3.42755;1
  20.95341; 0.63663;      -0.43643;3.42758;1
  20.88187; 0.63996;      -0.44503;3.42761;1
  20.80941; 0.64329;      -0.45376;3.42765;1
  20.73602; 0.64663;      -0.46255;3.42768;1
  20.66167; 0.64996;      -0.47148;3.42771;1
  20.58639; 0.65329;      -0.48053;3.42774;1
  20.51018; 0.65663;      -0.48970;3.42778;1
  20.43305; 0.65996;      -0.49893;3.42781;1
  20.35500; 0.66329;      -0.50831;3.42785;1
  20.27598; 0.66663;      -0.51784;3.42788;1
  20.19603; 0.66996;      -0.52744;3.42792;1
  20.11516; 0.67329;      -0.53715;3.42795;1
  20.03338; 0.67662;      -0.54698;3.42799;1
  19.95062; 0.67996;      -0.55691;3.42803;1
  19.86697; 0.68329;      -0.56688;3.42806;1
  19.78243; 0.68662;      -0.57706;3.42810;1
  19.69693; 0.68996;      -0.58731;3.42814;1
  19.61054; 0.69329;      -0.59763;3.42817;1
  19.52325; 0.69662;      -0.60810;3.42821;1
  19.43502; 0.69996;      -0.61868;3.42825;1
  19.34589; 0.70329;      -0.62938;3.42829;1
  19.25591; 0.70662;      -0.63992;3.42833;1
  19.16500; 0.70996;      -0.65063;3.42837;1
  19.07320; 0.71329;      -0.66151;3.42841;1
  18.98047; 0.71662;      -0.67246;3.42845;1
  18.88686; 0.71996;      -0.68350;3.42849;1
  18.79240; 0.72329;      -0.69454;3.42853;1
  18.69703; 0.72662;      -0.70575;3.42857;1
  18.60081; 0.72995;      -0.71708;3.42861;1
  18.50380; 0.73329;      -0.72841;3.42865;1
  18.40590; 0.73662;      -0.73989;3.42870;1
