#EXPORTTYPE:DATA SINGLE
#FILE:VS55 em Hepes.ngb-ddg
#FORMAT:NETZSCH5
#FTYPE:ANSI
#IDENTITY:VS55 em Hepes
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH DSC 214
#PROJECT:
#DATE/TIME:07.05.2026 13:31
#CORR. FILE:correction.ngb-bdg
#TEMPCAL:applied
#SENSITIVITY:applied
#LABORATORY:Proc. de Nanocerâmicas
#OPERATOR:Danilo Janes
#REMARK:
#SAMPLE:VS55 em Hepes
#SAMPLE MASS /mg:15.3
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:0
#TYPE OF CRUCIBLE:Concavus Pan Al, pierced lid
#SAMPLE CRUCIBLE MASS /mg:0
#REFERENCE CRUCIBLE MASS /mg:0
#M.RANGE /µV:5000
#TAU-R:---
#CORR. CODE:020
#EXO:-1
#RANGE:25°C/10,0(K/min)/-170°C/10,0(K/min)/40°C/
#SEGMENT:S1-2/2
#SEG. 1:25°C/10,0(K/min)/-170°C
#SEG. 2:-170°C/10,0(K/min)/40°C

##Temp./°C;Time/min;DSC/(mW/mg);Sensit./(uV/mW);Segment
  25.23900; 0.00000; 4.126288e-002;3.42562;1
  25.23933; 0.00333; 4.124832e-002;3.42562;1
  25.23900; 0.00667; 4.126288e-002;3.42562;1
  25.23871; 0.01000; 4.127729e-002;3.42562;1
  25.23844; 0.01333; 4.132111e-002;3.42562;1
  25.23845; 0.01667; 4.136463e-002;3.42562;1
  25.23869; 0.02000; 4.142286e-002;3.42562;1
  25.23873; 0.02333; 4.142257e-002;3.42562;1
  25.23871; 0.02667; 4.142272e-002;3.42562;1
  25.23874; 0.03000; 4.150991e-002;3.42562;1
  25.23876; 0.03333; 4.161224e-002;3.42562;1
  25.23891; 0.03667; 4.177279e-002;3.42562;1
  25.23900; 0.04000; 4.203509e-002;3.42562;1
  25.23915; 0.04333; 4.239916e-002;3.42562;1
  25.23921; 0.04667; 4.280717e-002;3.42562;1
  25.23923; 0.05000; 4.322989e-002;3.42562;1
  25.23921; 0.05333; 4.366701e-002;3.42562;1
  25.23917; 0.05667; 4.416308e-002;3.42562;1
  25.23903; 0.06000; 4.468812e-002;3.42562;1
  25.23887; 0.06333; 4.534431e-002;3.42562;1
  25.23861; 0.06667; 4.597167e-002;3.42562;1
  25.23828; 0.07000; 4.662871e-002;3.42562;1
  25.23787; 0.07333; 4.729974e-002;3.42562;1
  25.23736; 0.07667; 4.801516e-002;3.42562;1
  25.23676; 0.08000; 4.881791e-002;3.42562;1
  25.23604; 0.08333; 4.964978e-002;3.42562;1
  25.23521; 0.08667; 5.054044e-002;3.42562;1
  25.23425; 0.09000; 5.144538e-002;3.42562;1
  25.23318; 0.09333; 5.240897e-002;3.42562;1
  25.23197; 0.09667; 5.337298e-002;3.42562;1
  25.23061; 0.10000; 5.438038e-002;3.42563;1
  25.22970; 0.10333; 5.538850e-002;3.42563;1
  25.22874; 0.10667; 5.633853e-002;3.42563;1
  25.22772; 0.11000; 5.737591e-002;3.42563;1
  25.22666; 0.11333; 5.836975e-002;3.42563;1
  25.22551; 0.11667; 5.940726e-002;3.42563;1
  25.22431; 0.12000; 6.050357e-002;3.42563;1
  25.22303; 0.12333; 6.157120e-002;3.42563;1
  25.22170; 0.12667; 6.258017e-002;3.42563;1
  25.22030; 0.13000; 6.350194e-002;3.42563;1
  25.21882; 0.13333; 6.433680e-002;3.42563;1
  25.21723; 0.13667; 6.524458e-002;3.42563;1
  25.21552; 0.14000; 6.621089e-002;3.42563;1
  25.21374; 0.14333; 6.716234e-002;3.42563;1
  25.21189; 0.14667; 6.799776e-002;3.42563;1
  25.20992; 0.15000; 6.880436e-002;3.42563;1
  25.20784; 0.15333; 6.962567e-002;3.42564;1
  25.20569; 0.15667; 7.041785e-002;3.42564;1
  25.20341; 0.16000; 7.116650e-002;3.42564;1
  25.20103; 0.16333; 7.179871e-002;3.42564;1
  25.19856; 0.16667; 7.246016e-002;3.42564;1
  25.19595; 0.17000; 7.315088e-002;3.42564;1
  25.19320; 0.17333; 7.378351e-002;3.42564;1
  25.19036; 0.17667; 7.429982e-002;3.42564;1
  25.18739; 0.18000; 7.475806e-002;3.42565;1
  25.18431; 0.18333; 7.505631e-002;3.42565;1
  25.18110; 0.18667; 7.548571e-002;3.42565;1
  25.17774; 0.19000; 7.591482e-002;3.42565;1
  25.17426; 0.19333; 7.630041e-002;3.42565;1
  25.17069; 0.19667; 7.655527e-002;3.42565;1
  25.16693; 0.20000; 7.672265e-002;3.42565;1
  25.16307; 0.20333; 7.680255e-002;3.42566;1
  25.15907; 0.20667; 7.688302e-002;3.42566;1
  25.15489; 0.21000; 7.694864e-002;3.42566;1
  25.15057; 0.21333; 7.691251e-002;3.42566;1
  25.14611; 0.21667; 7.678889e-002;3.42566;1
  25.14152; 0.22000; 7.659293e-002;3.42567;1
  25.13675; 0.22333; 7.635300e-002;3.42567;1
  25.13182; 0.22667; 7.605485e-002;3.42567;1
  25.12674; 0.23000; 7.569876e-002;3.42567;1
  25.12151; 0.23333; 7.529871e-002;3.42568;1
  25.11613; 0.23667; 7.481133e-002;3.42568;1
  25.11057; 0.24000; 7.435291e-002;3.42568;1
  25.10485; 0.24333; 7.383640e-002;3.42568;1
  25.09895; 0.24667; 7.302892e-002;3.42569;1
  25.09290; 0.25000; 7.219189e-002;3.42569;1
  25.08667; 0.25333; 7.119503e-002;3.42569;1
  25.08028; 0.25667; 7.032917e-002;3.42570;1
  25.07370; 0.26000; 6.949201e-002;3.42570;1
  25.06695; 0.26333; 6.859704e-002;3.42570;1
  25.06005; 0.26667; 6.751270e-002;3.42571;1
  25.05293; 0.27000; 6.639881e-002;3.42571;1
  25.04567; 0.27333; 6.522685e-002;3.42571;1
  25.03821; 0.27667; 6.398239e-002;3.42572;1
  25.03059; 0.28000; 6.270825e-002;3.42572;1
  25.02275; 0.28333; 6.134692e-002;3.42572;1
  25.01474; 0.28667; 5.995676e-002;3.42573;1
  25.00654; 0.29000; 5.855147e-002;3.42573;1
  24.99816; 0.29333; 5.708796e-002;3.42573;1
  24.98961; 0.29667; 5.559520e-002;3.42574;1
  24.98089; 0.30000; 5.395674e-002;3.42574;1
  24.97195; 0.30333; 5.226020e-002;3.42575;1
  24.96284; 0.30667; 5.035988e-002;3.42575;1
  24.95349; 0.31000; 4.853148e-002;3.42576;1
  24.94397; 0.31333; 4.664572e-002;3.42576;1
  24.93428; 0.31667; 4.465735e-002;3.42576;1
  24.92436; 0.32000; 4.262547e-002;3.42577;1
  24.91426; 0.32333; 4.062241e-002;3.42577;1
  24.90397; 0.32667; 3.856100e-002;3.42578;1
  24.89344; 0.33000; 3.644136e-002;3.42578;1
  24.88270; 0.33333; 3.430732e-002;3.42579;1
  24.87179; 0.33667; 3.208552e-002;3.42579;1
  24.86066; 0.34000; 2.974713e-002;3.42580;1
  24.84936; 0.34333; 2.733597e-002;3.42580;1
  24.83780; 0.34667; 2.501201e-002;3.42581;1
  24.82610; 0.35000; 2.261528e-002;3.42581;1
  24.81420; 0.35333; 2.024738e-002;3.42582;1
  24.80208; 0.35667; 1.780671e-002;3.42583;1
  24.78977; 0.36000; 1.527828e-002;3.42583;1
  24.77723; 0.36333; 1.273574e-002;3.42584;1
  24.76451; 0.36667; 1.013469e-002;3.42584;1
  24.75156; 0.37000; 7.431334e-003;3.42585;1
