cryojet_current_temp[K],Setpoint[K],T1[K],Time[h-m-s]
296.44,296.44,299.35000076293943,11-30-14
296.16,296.2,299.4499992370605,11-30-24
295.82,295.85,299.4499992370605,11-30-34
295.69,295.69,299.54999961853025,11-30-44
295.56,80.0,299.35000076293943,11-30-54
288.18,80.0,293.54999961853025,11-31-04
286.03000000000003,80.0,291.2500003814697,11-31-15
283.19,80.0,288.95000019073484,11-31-25
280.13,80.0,286.8499998092651,11-31-35
276.77,80.0,284.65,11-31-45
273.79,80.0,282.45000019073484,11-31-55
271.78000000000003,80.0,280.3499998092651,11-32-05
268.43,80.0,278.24999990463255,11-32-15
265.52,80.0,276.24999990463255,11-32-25
262.98,80.0,274.25000002384184,11-32-35
260.54,80.0,272.25000002384184,11-32-45
258.39,80.0,270.44999995231626,11-32-55
255.89000000000001,80.0,268.5500000953674,11-33-05
253.88,80.0,266.65,11-33-15
251.52,80.0,264.8499998092651,11-33-25
249.39000000000001,80.0,262.95000019073484,11-33-35
247.39000000000001,80.0,261.15,11-33-45
245.24,80.0,259.45000019073484,11-33-55
243.62,80.0,257.7500003814697,11-34-05
241.34,80.0,255.94999923706052,11-34-15
239.39000000000001,80.0,254.14999999999998,11-34-25
237.64000000000001,80.0,252.2500003814697,11-34-35
235.58,80.0,250.54999961853025,11-34-46
233.68,80.0,248.7500003814697,11-34-56
231.61,80.0,247.04999961853025,11-35-06
229.91,80.0,245.44999923706052,11-35-16
227.85,80.0,243.7500003814697,11-35-26
225.99,80.0,242.14999999999998,11-35-36
224.14000000000001,80.0,240.24999847412107,11-35-46
222.13,80.0,238.55000152587888,11-35-56
220.07,80.0,236.64999999999998,11-36-06
217.9,80.0,234.74999847412107,11-36-16
215.68,80.0,232.74999847412107,11-36-26
213.72,80.0,230.85000076293943,11-36-36
211.20000000000002,80.0,228.94999923706052,11-36-46
209.09,80.0,227.14999999999998,11-36-56
207.09,80.0,225.44999923706052,11-37-06
205.36,80.0,223.64999999999998,11-37-16
203.19,80.0,221.94999923706052,11-37-26
201.38,80.0,220.05000152587888,11-37-36
199.19,80.0,218.24999847412107,11-37-47
197.16,80.0,216.64999999999998,11-37-57
194.95000000000002,80.0,214.85000076293943,11-38-07
192.83,80.0,213.05000152587888,11-38-17
191.0,80.0,211.35000076293943,11-38-27
189.06,80.0,209.74999847412107,11-38-37
187.11,80.0,207.9500030517578,11-38-47
185.28,80.0,206.4500030517578,11-38-57
183.43,80.0,204.64999999999998,11-39-07
181.75,80.0,203.24999847412107,11-39-17
179.75,80.0,201.55000152587888,11-39-27
178.06,80.0,200.05000152587888,11-39-37
176.17000000000002,80.0,198.4500030517578,11-39-47
174.39000000000001,80.0,196.74999847412107,11-39-57
172.78,80.0,195.24999847412107,11-40-07
170.9,80.0,193.74999847412107,11-40-17
169.21,80.0,192.24999847412107,11-40-28
167.56,80.0,190.74999847412107,11-40-38
165.77,80.0,189.24999847412107,11-40-48
164.17000000000002,80.0,187.84999694824216,11-40-58
162.97,80.0,186.24999847412107,11-41-08
160.88,80.0,184.74999847412107,11-41-18
159.19,80.0,183.4500030517578,11-41-28
157.69,80.0,181.84999694824216,11-41-38
156.08,80.0,180.55000152587888,11-41-48
154.6,80.0,179.05000152587888,11-41-58
152.97,80.0,177.34999694824216,11-42-08
151.27,80.0,176.34999694824216,11-42-18
150.20000000000002,80.0,174.55000152587888,11-42-28
148.51,80.0,173.55000152587888,11-42-39
146.93,80.0,172.24999847412107,11-42-49
145.3,80.0,170.14999999999998,11-42-59
143.72,80.0,169.4500030517578,11-43-09
142.45000000000002,80.0,167.74999847412107,11-43-19
140.91,80.0,166.84999694824216,11-43-29
139.71,80.0,165.34999694824216,11-43-39
138.52,80.0,163.4500030517578,11-43-49
136.67000000000002,80.0,163.05000152587888,11-43-59
135.42000000000002,80.0,161.74999847412107,11-44-09
133.94,80.0,159.84999694824216,11-44-19
132.52,80.0,159.55000152587888,11-44-30
131.49,80.0,157.9500030517578,11-44-40
130.1,80.0,156.74999847412107,11-44-50
129.07,80.0,156.14999999999998,11-45-00
127.87,80.0,154.14999999999998,11-45-10
126.53,80.0,153.9500030517578,11-45-20
125.58,80.0,152.9500030517578,11-45-30
124.63000000000001,80.0,151.05000152587888,11-45-40
123.32000000000001,80.0,150.84999694824216,11-45-50
122.41,80.0,149.14999999999998,11-46-00
121.23,80.0,148.9500030517578,11-46-10
120.38,80.0,148.34999694824216,11-46-21
118.98,80.0,145.9500030517578,11-46-31
117.93,80.0,145.9500030517578,11-46-41
117.08,80.0,144.2500061035156,11-46-51
115.98,80.0,144.2500061035156,11-47-01
115.19,80.0,143.4500030517578,11-47-11
113.7,80.0,140.9500030517578,11-47-21
112.53,80.0,141.4500030517578,11-47-31
111.81,80.0,140.4500030517578,11-47-41
110.82000000000001,80.0,138.84999694824216,11-47-52
109.91,80.0,139.04999389648435,11-48-02
109.08,80.0,137.14999999999998,11-48-12
108.25,80.0,138.2500061035156,11-48-22
107.49000000000001,80.0,136.7500061035156,11-48-32
106.2,80.0,134.7500061035156,11-48-42
105.37,80.0,135.2500061035156,11-48-52
104.81,80.0,133.34999694824216,11-49-02
103.78,80.0,133.64999999999998,11-49-13
103.24000000000001,80.0,133.64999999999998,11-49-23
102.32000000000001,80.0,131.34999694824216,11-49-33
101.73,80.0,132.4500030517578,11-49-43
101.15,80.0,131.14999999999998,11-49-53
100.02,80.0,129.14999999999998,11-50-03
99.15,80.0,130.9500030517578,11-50-13
98.52,80.0,128.4500030517578,11-50-23
97.2,80.0,127.45000305175779,11-50-34
96.66,80.0,129.04999389648435,11-50-44
95.98,80.0,126.34999694824216,11-50-54
94.79,80.0,125.54999389648435,11-51-04
94.45,80.0,126.34999694824216,11-51-14
94.02,80.0,124.95000305175779,11-51-24
92.98,80.0,123.64999999999998,11-51-34
92.72,80.0,124.54999389648435,11-51-45
92.2,80.0,122.54999389648435,11-51-55
91.55,80.0,124.14999999999998,11-52-05
91.21000000000001,80.0,124.14999999999998,11-52-15
90.05,80.0,121.14999999999998,11-52-25
89.76,80.0,122.64999999999998,11-52-35
89.4,80.0,120.64999999999998,11-52-45
88.69,80.0,121.2500061035156,11-52-56
88.62,80.0,121.95000305175779,11-53-06
88.02,80.0,118.7500061035156,11-53-16
87.2,80.0,120.84999694824216,11-53-26
87.13,80.0,121.14999999999998,11-53-36
86.17,80.0,117.84999694824216,11-53-46
85.92,80.0,120.45000305175779,11-53-56
85.8,80.0,118.04999389648435,11-54-07
85.07000000000001,80.0,117.95000305175779,11-54-17
85.08,80.0,118.95000305175779,11-54-27
84.61,80.0,116.45000305175779,11-54-37
83.96000000000001,80.0,117.84999694824216,11-54-47
83.96000000000001,80.0,118.84999694824216,11-54-57
82.99,80.0,115.54999389648435,11-55-08
82.77,80.0,117.7500061035156,11-55-18
82.81,80.0,117.34999694824216,11-55-28
81.92,80.0,115.04999389648435,11-55-38
81.95,80.0,116.64999999999998,11-55-48
81.62,80.0,115.14999999999998,11-55-58
81.26,80.0,115.95000305175779,11-56-09
81.34,80.0,116.04999389648435,11-56-19
80.58,80.0,112.7500061035156,11-56-29
80.0,80.0,115.14999999999998,11-56-39
80.15,80.0,114.54999389648435,11-56-49
79.96000000000001,80.0,113.64999999999998,11-56-59
80.12,80.0,113.84999694824216,11-57-10
80.16,80.0,113.95000305175779,11-57-20
80.38,80.0,114.04999389648435,11-57-30
80.63,80.0,114.45000305175779,11-57-40
80.88,80.0,114.34999694824216,11-57-50
81.04,80.0,114.95000305175779,11-58-01
81.21000000000001,80.0,114.7500061035156,11-58-11
81.37,80.0,114.54999389648435,11-58-21
81.53,80.0,114.7500061035156,11-58-31
81.66,80.0,115.04999389648435,11-58-41
81.76,80.0,115.2500061035156,11-58-51
81.89,80.0,115.45000305175779,11-59-02
81.97,80.0,115.14999999999998,11-59-12
82.09,80.0,115.04999389648435,11-59-22
82.22,80.0,115.14999999999998,11-59-32
82.31,80.0,115.34999694824216,11-59-42
82.41,80.0,115.34999694824216,11-59-53
82.49,80.0,115.45000305175779,12-00-03
82.63,80.0,115.7500061035156,12-00-13
82.77,80.0,115.64999999999998,12-00-23
82.86,80.0,115.54999389648435,12-00-33
82.94,80.0,115.95000305175779,12-00-44
83.0,80.0,115.84999694824216,12-00-54
83.15,80.0,116.04999389648435,12-01-04
83.25,80.0,116.04999389648435,12-01-14
83.35000000000001,80.0,116.2500061035156,12-01-24
83.48,80.0,116.04999389648435,12-01-35
83.59,80.0,116.34999694824216,12-01-45
83.65,80.60000000000001,116.2500061035156,12-01-55
83.85000000000001,81.60000000000001,117.34999694824216,12-02-05
83.9,82.60000000000001,117.84999694824216,12-02-15
84.24,83.60000000000001,119.04999389648435,12-02-26
84.46000000000001,84.7,119.84999694824216,12-02-36
84.96000000000001,85.7,121.34999694824216,12-02-46
85.57000000000001,86.7,122.2500061035156,12-02-56
86.4,87.60000000000001,124.2500061035156,12-03-07
87.58,88.7,126.45000305175779,12-03-17
88.89,89.8,129.2500061035156,12-03-27
89.85000000000001,90.5,133.34999694824216,12-03-37
91.21000000000001,91.8,134.7500061035156,12-03-48
92.34,92.8,135.64999999999998,12-03-58
93.66,93.9,135.9500030517578,12-04-08
94.63,94.9,136.7500061035156,12-04-18
95.78,95.9,137.34999694824216,12-04-28
96.8,96.9,137.84999694824216,12-04-39
97.91,98.0,138.34999694824216,12-04-49
98.91,99.0,139.04999389648435,12-04-59
99.9,100.0,139.64999999999998,12-05-09
100.69,100.8,140.04999389648435,12-05-20
101.88,102.0,140.4500030517578,12-05-30
102.97,103.10000000000001,141.04999389648435,12-05-40
103.87,104.10000000000001,141.4500030517578,12-05-50
104.77,105.0,142.64999999999998,12-06-01
105.96000000000001,106.10000000000001,142.34999694824216,12-06-11
106.97,107.2,143.04999389648435,12-06-21
108.08,108.2,143.7500061035156,12-06-31
108.88,109.0,144.2500061035156,12-06-42
110.08,110.2,144.34999694824216,12-06-52
111.19,111.3,144.9500030517578,12-07-02
112.08,112.3,145.34999694824216,12-07-12
113.18,113.3,146.05000152587888,12-07-23
114.18,114.4,146.64999999999998,12-07-33
115.3,115.4,147.24999847412107,12-07-43
116.19,116.4,147.64999999999998,12-07-53
117.29,117.4,148.34999694824216,12-08-04
118.4,118.5,149.14999999999998,12-08-14
119.39,119.5,149.84999694824216,12-08-24
120.29,120.5,150.4500030517578,12-08-35
121.39,121.5,150.9500030517578,12-08-45
122.39,122.60000000000001,151.4500030517578,12-08-55
123.49000000000001,123.60000000000001,152.4500030517578,12-09-05
124.39,124.5,153.05000152587888,12-09-16
125.49000000000001,125.60000000000001,153.55000152587888,12-09-26
126.49000000000001,126.60000000000001,154.34999694824216,12-09-36
127.60000000000001,127.7,155.14999999999998,12-09-46
128.59,128.7,155.74999847412107,12-09-57
129.69,129.8,156.4500030517578,12-10-07
130.69,130.8,157.14999999999998,12-10-17
131.69,131.8,157.84999694824216,12-10-28
132.69,132.8,158.64999999999998,12-10-38
133.8,133.9,159.4500030517578,12-10-48
134.7,134.9,160.14999999999998,12-10-59
135.71,135.9,160.74999847412107,12-11-09
136.81,136.9,161.64999999999998,12-11-19
137.91,138.0,162.05000152587888,12-11-29
138.9,139.0,162.74999847412107,12-11-40
139.9,140.1,163.4500030517578,12-11-50
140.9,141.1,164.4500030517578,12-12-00
142.0,142.1,165.05000152587888,12-12-11
142.9,143.0,165.64999999999998,12-12-21
144.1,144.20000000000002,166.4500030517578,12-12-31
145.11,145.20000000000002,167.24999847412107,12-12-42
146.0,146.1,167.9500030517578,12-12-52
147.20000000000002,147.3,168.84999694824216,12-13-02
148.20000000000002,148.3,169.55000152587888,12-13-12
149.20000000000002,149.3,170.14999999999998,12-13-23
150.20000000000002,150.3,171.14999999999998,12-13-33
151.3,151.4,171.74999847412107,12-13-43
152.3,152.4,172.4500030517578,12-13-54
153.4,153.5,173.24999847412107,12-14-04
154.4,154.5,174.05000152587888,12-14-14
155.39000000000001,155.5,174.84999694824216,12-14-25
156.51,156.6,175.55000152587888,12-14-35
157.51,157.6,176.24999847412107,12-14-45
158.49,158.5,177.05000152587888,12-14-56
159.61,159.70000000000002,177.84999694824216,12-15-06
160.51,160.6,178.55000152587888,12-15-16
161.6,161.70000000000002,179.34999694824216,12-15-27
162.71,162.8,180.05000152587888,12-15-37
163.70000000000002,163.8,180.84999694824216,12-15-47
164.70000000000002,164.8,181.64999999999998,12-15-58
165.81,165.9,182.34999694824216,12-16-08
166.81,166.9,183.05000152587888,12-16-18
167.81,167.9,183.74999847412107,12-16-29
168.91,169.0,184.55000152587888,12-16-39
169.9,170.0,185.34999694824216,12-16-50
170.9,171.0,186.05000152587888,12-17-00
172.01,172.1,186.84999694824216,12-17-10
173.01,173.1,187.55000152587888,12-17-21
173.91,174.1,188.4500030517578,12-17-31
175.01,175.1,189.24999847412107,12-17-41
175.92000000000002,176.1,189.9500030517578,12-17-52
177.11,177.20000000000002,190.74999847412107,12-18-02
178.11,178.4,191.4500030517578,12-18-12
179.21,179.3,192.24999847412107,12-18-23
180.31,180.4,192.84999694824216,12-18-33
181.31,181.4,193.84999694824216,12-18-44
182.3,182.4,194.55000152587888,12-18-54
183.41,183.5,195.34999694824216,12-19-04
183.91,184.6,196.24999847412107,12-19-15
185.41,185.5,196.9500030517578,12-19-25
186.51,186.6,197.84999694824216,12-19-35
187.51,187.70000000000002,198.4500030517578,12-19-46
188.61,188.70000000000002,199.4500030517578,12-19-56
189.61,189.70000000000002,200.24999847412107,12-20-07
190.6,190.70000000000002,201.14999999999998,12-20-17
191.72,191.8,201.74999847412107,12-20-27
192.5,192.5,202.64999999999998,12-20-38
193.79,193.9,203.4500030517578,12-20-48
194.82,194.9,204.34999694824216,12-20-59
195.82,196.0,205.14999999999998,12-21-09
196.9,197.0,205.84999694824216,12-21-19
197.91,198.0,206.74999847412107,12-21-30
198.92000000000002,199.0,207.64999999999998,12-21-40
200.01,200.20000000000002,208.4500030517578,12-21-51
201.02,201.1,209.14999999999998,12-22-01
202.01,202.1,210.14999999999998,12-22-11
203.12,203.20000000000002,210.94999923706052,12-22-22
204.22,204.3,211.74999847412107,12-22-32
205.20000000000002,205.4,212.64999999999998,12-22-43
206.31,206.5,213.44999923706052,12-22-53
207.31,207.5,214.35000076293943,12-23-04
208.31,208.5,215.14999999999998,12-23-14
209.42000000000002,209.6,215.85000076293943,12-23-24
210.41,210.6,216.74999847412107,12-23-35
211.52,211.70000000000002,217.64999999999998,12-23-45
212.51,212.70000000000002,218.55000152587888,12-23-56
213.42000000000002,213.5,219.35000076293943,12-24-06
214.61,214.70000000000002,220.05000152587888,12-24-17
215.62,215.8,221.05000152587888,12-24-27
216.72,216.9,221.85000076293943,12-24-37
217.41,217.6,222.74999847412107,12-24-48
218.81,218.9,223.55000152587888,12-24-58
219.82,220.0,224.44999923706052,12-25-09
220.81,221.0,225.24999847412107,12-25-19
221.91,222.1,226.24999847412107,12-25-30
222.9,223.1,227.05000152587888,12-25-40
224.01,224.20000000000002,227.85000076293943,12-25-50
225.02,225.20000000000002,228.64999999999998,12-26-01
226.11,226.3,229.64999999999998,12-26-11
227.11,227.3,230.35000076293943,12-26-22
228.21,228.4,231.35000076293943,12-26-32
229.21,229.4,232.24999847412107,12-26-43
230.21,230.4,233.05000152587888,12-26-53
231.31,231.5,233.94999923706052,12-27-04
232.31,232.5,234.74999847412107,12-27-14
233.42000000000002,233.6,235.64999999999998,12-27-25
234.32,234.5,236.64999999999998,12-27-35
235.52,235.6,237.55000152587888,12-27-46
236.5,236.70000000000002,238.24999847412107,12-27-56
237.62,237.8,239.24999847412107,12-28-07
238.61,238.8,240.05000152587888,12-28-17
239.72,239.8,241.05000152587888,12-28-27
240.72,240.8,241.85000076293943,12-28-38
241.82,242.0,242.7500003814697,12-28-48
242.82,242.9,243.64999999999998,12-28-59
243.72,243.9,244.44999923706052,12-29-09
244.91,245.1,245.35000076293943,12-29-20
246.01000000000002,246.20000000000002,246.2500003814697,12-29-30
247.01000000000002,247.1,247.04999961853025,12-29-41
248.1,248.3,247.94999923706052,12-29-51
249.11,249.3,248.94999923706052,12-30-02
250.21,250.4,249.64999999999998,12-30-12
250.82,251.1,250.54999961853025,12-30-23
252.32,252.4,251.54999961853025,12-30-33
253.31,253.5,252.44999923706052,12-30-44
254.41,254.5,253.35000076293943,12-30-54
255.32,255.5,254.2500003814697,12-31-05
256.52,256.6,255.04999961853025,12-31-16
257.52,257.6,256.04999961853025,12-31-26
258.62,258.8,256.9499992370605,12-31-37
259.61,259.7,257.7500003814697,12-31-47
260.72,260.8,258.7500003814697,12-31-58
261.73,261.8,259.54999961853025,12-32-08
262.71,262.9,260.45000019073484,12-32-19
263.92,264.1,261.3499998092651,12-32-29
264.91,265.1,262.3499998092651,12-32-40
266.02,266.1,263.2500003814697,12-32-51
267.11,267.3,264.15,12-33-01
268.12,268.3,265.04999961853025,12-33-12
269.21,269.4,266.0500000953674,12-33-23
270.32,270.5,266.95000019073484,12-33-34
271.33,271.5,267.8499998092651,12-33-44
272.42,272.6,268.74999990463255,12-33-55
273.52,273.6,269.74999990463255,12-34-06
274.62,274.8,270.5500000953674,12-34-16
275.62,275.8,271.5499999761581,12-34-27
276.71,276.90000000000003,272.4500000119209,12-34-38
277.82,278.0,273.4500000119209,12-34-49
278.91,279.1,274.25000002384184,12-34-59
279.92,280.1,275.24999990463255,12-35-10
281.02,281.2,276.15,12-35-21
282.12,282.3,276.94999995231626,12-35-31
283.02,283.1,277.95000019073484,12-35-42
284.23,284.3,278.95000019073484,12-35-53
285.32,285.5,279.8499998092651,12-36-04
286.42,286.6,280.65,12-36-14
287.42,287.6,281.65,12-36-25
288.52,288.7,282.54999961853025,12-36-36
289.61,289.8,283.54999961853025,12-36-47
290.72,290.90000000000003,284.54999961853025,12-36-57
291.71,291.90000000000003,285.45000019073484,12-37-08
292.83,293.0,286.3499998092651,12-37-19
293.62,293.7,287.3499998092651,12-37-30
295.03000000000003,295.2,288.3499998092651,12-37-41
295.92,296.1,289.15,12-37-51
297.12,297.3,290.15,12-38-02
298.21,298.40000000000003,291.04999961853025,12-38-13
299.32,299.5,292.04999961853025,12-38-24
300.41,300.6,292.9499992370605,12-38-34
301.41,301.6,293.9499992370605,12-38-45
302.53000000000003,302.7,294.85000076293943,12-38-56
303.72,303.8,295.85000076293943,12-39-07
304.62,304.8,296.7500003814697,12-39-18
305.72,305.90000000000003,297.65,12-39-28
306.82,307.0,298.65,12-39-39
307.92,308.1,299.65,12-39-50
309.02,309.2,300.65,12-40-01
310.13,310.3,301.65,12-40-12
311.31,311.40000000000003,302.4499992370605,12-40-22
312.24,312.40000000000003,303.4499992370605,12-40-33
313.33,313.5,304.4499992370605,12-40-44
314.42,314.6,305.4499992370605,12-40-55
315.52,315.6,306.35000076293943,12-41-06
316.63,316.8,307.24999847412107,12-41-16
317.62,317.8,308.24999847412107,12-41-27
318.72,318.90000000000003,309.24999847412107,12-41-38
319.93,320.0,310.15,12-41-49
321.02,321.1,311.15,12-42-00
322.04,322.1,312.0500015258789,12-42-11
323.03000000000003,323.2,313.0500015258789,12-42-21
324.11,324.3,314.0500015258789,12-42-32
325.23,325.40000000000003,314.9499992370605,12-42-43
326.33,326.5,315.9499992370605,12-42-54
327.42,327.6,316.9499992370605,12-43-05
328.63,328.7,317.9499992370605,12-43-16
329.63,329.8,318.9499992370605,12-43-27
330.71,330.90000000000003,319.85000076293943,12-43-37
331.73,331.90000000000003,320.74999847412107,12-43-48
332.83,333.0,321.85000076293943,12-43-59
333.92,334.1,322.74999847412107,12-44-10
335.02,335.2,323.74999847412107,12-44-21
336.13,336.3,324.74999847412107,12-44-32
337.22,337.40000000000003,325.65,12-44-43
338.31,338.5,326.74999847412107,12-44-54
339.42,339.6,327.5500015258789,12-45-04
340.42,340.6,328.5500015258789,12-45-15
341.53000000000003,341.7,329.5500015258789,12-45-26
342.64,342.8,330.5500015258789,12-45-37
343.72,343.90000000000003,331.5500015258789,12-45-48
344.82,344.90000000000003,332.5500015258789,12-45-59
345.93,346.1,333.5500015258789,12-46-10
347.02,347.2,334.4499992370605,12-46-21
348.12,348.2,335.35000076293943,12-46-31
349.12,349.3,336.35000076293943,12-46-42
350.22,350.40000000000003,337.34999694824216,12-46-53
351.32,351.5,338.34999694824216,12-47-04
352.44,352.6,339.34999694824216,12-47-14
353.42,353.6,340.24999847412107,12-47-25
354.63,354.7,341.15,12-47-36
355.53000000000003,355.7,342.24999847412107,12-47-47
356.72,356.90000000000003,343.24999847412107,12-47-58
357.8,358.0,344.24999847412107,12-48-08
358.83,359.0,345.0500015258789,12-48-19
359.92,360.1,346.0500015258789,12-48-30
361.01,361.2,347.0500015258789,12-48-41
362.12,362.3,348.15,12-48-52
363.21,363.40000000000003,349.0500015258789,12-49-02
364.32,364.40000000000003,349.9500030517578,12-49-13
365.31,365.5,350.9500030517578,12-49-24
366.43,366.6,351.9500030517578,12-49-35
367.58,367.7,352.9500030517578,12-49-46
368.63,368.7,353.9500030517578,12-49-57
369.52,369.6,354.84999694824216,12-50-07
370.69,370.90000000000003,355.84999694824216,12-50-18
371.84000000000003,372.0,356.84999694824216,12-50-29
372.91,373.1,357.84999694824216,12-50-40
374.08,374.2,358.84999694824216,12-50-51
375.13,375.3,359.9500030517578,12-51-02
376.12,376.3,360.84999694824216,12-51-12
377.1,377.3,361.74999847412107,12-51-23
378.41,378.5,362.84999694824216,12-51-34
379.43,379.6,363.84999694824216,12-51-45
380.62,380.7,364.84999694824216,12-51-56
381.72,381.8,365.84999694824216,12-52-07
382.83,382.90000000000003,366.84999694824216,12-52-18
383.8,383.90000000000003,367.84999694824216,12-52-28
384.93,385.0,368.74999847412107,12-52-39
385.72,385.90000000000003,369.84999694824216,12-52-50
387.01,387.2,370.74999847412107,12-53-01
388.11,388.3,371.74999847412107,12-53-12
389.22,389.40000000000003,372.74999847412107,12-53-23
390.42,390.5,373.74999847412107,12-53-34
391.40000000000003,391.5,374.84999694824216,12-53-45
392.52,392.6,375.74999847412107,12-53-55
393.6,393.7,376.65,12-54-06
394.62,394.7,377.74999847412107,12-54-17
395.81,395.90000000000003,378.84999694824216,12-54-28
396.90000000000003,397.0,379.74999847412107,12-54-39
397.91,398.1,380.74999847412107,12-54-50
399.14,399.2,381.84999694824216,12-55-01
400.23,400.3,382.84999694824216,12-55-12
401.32,401.40000000000003,383.84999694824216,12-55-23
402.33,402.40000000000003,384.84999694824216,12-55-33
403.3,403.40000000000003,385.84999694824216,12-55-44
404.51,404.6,386.84999694824216,12-55-55
405.63,405.7,387.9500030517578,12-56-06
406.61,406.8,388.84999694824216,12-56-17
407.72,407.90000000000003,389.74999847412107,12-56-28
408.82,409.0,390.84999694824216,12-56-39
410.04,410.1,391.84999694824216,12-56-50
411.13,411.2,392.9500030517578,12-57-01
412.23,412.3,394.0500015258789,12-57-12
413.33,413.40000000000003,395.0500015258789,12-57-23
414.42,414.5,395.9500030517578,12-57-34
